City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shetpe,KZ,44.1667,52.1167,30.36,85,100,19.53,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,78.8,72,100,11.7,overcast clouds
2,Prince Rupert,CA,54.3161,-130.3201,44.29,70,0,14.97,clear sky
3,Avarua,CK,-21.2078,-159.775,80.65,78,20,12.66,few clouds
4,Albany,US,42.6001,-73.9662,21.16,61,5,3.0,clear sky
5,Vanimo,PG,-2.6741,141.3028,77.67,87,98,5.97,overcast clouds
6,Saint George,US,37.1041,-113.5841,53.35,29,0,1.01,clear sky
7,Pacific Grove,US,36.6177,-121.9166,62.31,60,0,1.99,clear sky
8,Kot Addu,PK,30.4692,70.9671,51.66,42,6,7.36,clear sky
9,Ushuaia,AR,-54.8,-68.3,64.06,45,40,14.97,scattered clouds
10,Chuy,UY,-33.6971,-53.4616,71.94,77,90,7.92,overcast clouds
11,Jos,NG,9.9167,8.9,65.75,21,0,8.43,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,84.16,85,86,3.0,overcast clouds
13,Inuvik,CA,68.3499,-133.7218,-31.94,68,20,2.3,few clouds
14,Hilo,US,19.7297,-155.09,75.61,83,0,3.44,clear sky
15,Guerrero Negro,MX,27.9769,-114.0611,66.36,24,0,1.45,clear sky
16,Bonito,BR,-21.1211,-56.4819,80.8,74,100,12.15,overcast clouds
17,Mackenzie,CA,55.2999,-123.1698,37.62,56,0,2.3,clear sky
18,Mataura,NZ,-46.1927,168.8643,50.49,92,100,1.07,overcast clouds
19,Bamora,IN,24.0552,78.0909,54.25,38,0,5.35,clear sky
20,Auki,SB,-8.7676,160.7034,79.2,86,57,5.64,broken clouds
21,Mayo,US,38.8876,-76.5119,34.95,46,0,14.0,clear sky
22,Gladstone,AU,-23.85,151.25,73.33,56,100,12.66,overcast clouds
23,Aranos,NA,-24.1333,19.1167,83.46,27,63,14.0,broken clouds
24,Port Macquarie,AU,-31.4333,152.9167,64.36,73,86,14.47,overcast clouds
25,Bredasdorp,ZA,-34.5322,20.0403,70.29,73,100,24.16,overcast clouds
26,Chokurdakh,RU,70.6333,147.9167,-30.15,100,100,1.52,overcast clouds
27,New Norfolk,AU,-42.7826,147.0587,56.71,64,100,1.25,overcast clouds
28,Shamary,RU,57.3434,58.2199,20.03,94,100,8.84,overcast clouds
29,Harper,LR,4.375,-7.7169,80.55,79,27,9.48,scattered clouds
30,Hamilton,US,39.1834,-84.5333,25.95,72,40,1.99,snow
31,Tasiilaq,GL,65.6145,-37.6368,24.96,58,100,9.73,overcast clouds
32,Busselton,AU,-33.65,115.3333,66.04,83,0,7.56,clear sky
33,Ladario,BR,-19.0047,-57.6017,89.89,66,75,6.91,broken clouds
34,Berdigestyakh,RU,62.0989,126.6992,-22.36,100,99,0.92,overcast clouds
35,Emerald,AU,-23.5333,148.1667,69.94,68,0,6.91,clear sky
36,Puerto Del Rosario,ES,28.5004,-13.8627,69.48,68,0,11.5,clear sky
37,Umm Lajj,SA,25.0213,37.2685,65.34,60,0,12.75,clear sky
38,Qaanaaq,GL,77.484,-69.3632,2.34,83,100,4.25,overcast clouds
39,Nome,US,64.5011,-165.4064,1.47,51,0,12.66,clear sky
40,Castro,BR,-24.7911,-50.0119,75.16,81,36,8.75,light rain
41,Agudos,BR,-22.4692,-48.9875,88.05,58,40,8.05,moderate rain
